,Unnamed: 0,href,youtuber_name,part,gender
29,29,https://www.youtube.com/watch?v=5Wp7Nhesqp8,pi,abs,2
0,0,https://www.youtube.com/watch?v=2swcod5RYvU,pi,arm,2
1,1,https://www.youtube.com/watch?v=JVgTL_d4t38,pi,arm,2
2,2,https://www.youtube.com/watch?v=Zw44144Pscw,pi,arm,2
3,3,https://www.youtube.com/watch?v=wuR-vSf2oFg,pi,arm,2
4,4,https://www.youtube.com/watch?v=cSLbQ4xRMrs,pi,arm,2
5,5,https://www.youtube.com/watch?v=T_6L0_tJMc8,pi,arm,2
6,6,https://www.youtube.com/watch?v=zwt_b9Kr73A,pi,arm,2
7,7,https://www.youtube.com/watch?v=TXB9NhZOpN4,pi,arm,2
8,8,https://www.youtube.com/watch?v=gMc3F66RfB0,pi,arm,2
9,9,https://www.youtube.com/watch?v=0-FO1ZRRqPU,pi,arm,2
10,10,https://www.youtube.com/watch?v=-7LwcF1szYM,pi,arm,2
11,11,https://www.youtube.com/watch?v=HSzsKHV1Nrc,pi,arm,2
12,12,https://www.youtube.com/watch?v=KxbV6NL6mJc,pi,arm,2
13,13,https://www.youtube.com/watch?v=PLw1e_cdETg,pi,arm,2
14,14,https://www.youtube.com/watch?v=UGtyWscGYq0,pi,arm,2
15,15,https://www.youtube.com/watch?v=cjbrbgbvaeI,pi,arm,2
16,16,https://www.youtube.com/watch?v=VN1KkjFwo3Q,pi,arm,2
17,17,https://www.youtube.com/watch?v=oDLUwNrqVq0,pi,arm,2
18,18,https://www.youtube.com/watch?v=YCh1fo4OGZ0,pi,arm,2
19,19,https://www.youtube.com/watch?v=vH1oDbCbvbc,pi,arm,2
20,20,https://www.youtube.com/watch?v=M1zz5v9XNzw,pi,arm,2
21,21,https://www.youtube.com/watch?v=N4D-flXeh00,pi,arm,2
22,22,https://www.youtube.com/watch?v=mWWVyIgIoHU,pi,arm,2
23,23,https://www.youtube.com/watch?v=Ar2KXOhpJgU,pi,arm,2
24,24,https://www.youtube.com/watch?v=e8DHQCm2KNc,pi,arm,2
25,25,https://www.youtube.com/watch?v=tJXz1hFUBLA,pi,arm,2
26,26,https://www.youtube.com/watch?v=qQ704CcSaog,pi,arm,2
27,27,https://www.youtube.com/watch?v=hYPy72Jd82s,pi,arm,2
28,28,https://www.youtube.com/watch?v=Eg8pR57_BB8,pi,arm,2
